200.240,732497,,
200.576,732361,,
200.903,731790,,
201.236,731688,,
201.573,732208,,
201.906,732080,,
202.253,732047,,
202.575,732017,,
202.914,731541,,
203.254,732228,,
203.596,731968,,
203.925,732139,,
204.266,732273,,
204.609,732069,,
204.927,732349,,
205.273,732154,,
205.606,732041,,
205.943,731619,,
206.269,731667,,
206.603,731935,,
206.937,731780,,
207.259,731873,,
207.603,730958,,
207.941,731834,,
208.275,732040,,
208.606,731554,,
208.940,731026,,
209.277,731519,,
209.611,731360,,
209.938,731498,,
210.277,731063,,
210.615,730883,,
210.950,730516,,
211.283,731242,,
211.625,731191,,
211.950,731054,,
212.305,731207,,
212.643,730963,,
212.970,730690,,
213.311,730861,,
213.639,731065,,
213.975,730469,,
214.302,730962,,
214.632,730675,,
214.973,730513,,
215.307,730766,,
215.642,730751,,
215.975,730343,,
216.307,729957,,
216.650,730805,,
216.982,730420,,
217.316,730610,,
217.654,730236,,
217.986,730288,,
218.324,729942,,
218.655,730158,,
218.996,730147,,
219.331,730261,,
219.661,729717,,
220.003,729597,,
220.331,729783,,
220.669,729827,,
220.997,729855,,
221.341,729404,,
221.670,728988,,
222.009,729438,,
222.339,729082,,
222.673,729695,,
223.006,729045,,
223.339,729030,,
223.682,729144,,
224.010,729176,,
224.346,729147,,
224.680,728965,,
225.017,728809,,
225.354,728855,,
225.692,729094,,
226.018,728834,,
226.366,729314,,
226.707,728657,,
227.035,729410,,
227.369,729227,,
227.703,728780,,
228.038,728969,,
228.363,728507,,
228.697,728834,,
229.034,728863,,
229.373,728789,,
229.709,728440,,
230.040,728771,,
230.378,729017,,
230.720,728911,,
231.054,728799,,
231.400,728496,,
231.732,729005,,
232.059,728846,,
232.386,728337,,
232.719,729084,,
233.055,728766,,
233.392,729092,,
233.725,729328,,
234.058,728727,,
234.387,728508,,
234.722,728742,,
235.059,729740,,
235.400,729354,,
235.734,729190,,
236.072,729149,,
236.411,729098,,
236.739,729454,,
237.080,729673,,
237.414,729230,,
237.741,728921,,
238.080,729297,,
238.404,729673,,
238.745,730119,,
239.085,729597,,
239.412,729478,,
239.756,729360,,
240.104,729981,,
240.436,730004,,
240.772,729694,,
241.107,729701,,
241.443,730135,,
241.772,730526,,
242.103,730027,,
242.442,730181,,
242.765,730110,,
243.099,730419,,
243.436,730881,,
243.765,731436,,
244.103,731034,,
244.436,730509,,
244.767,730953,,
245.110,731191,,
245.444,731618,,
245.771,731317,,
246.116,731199,,
246.455,731567,,
246.786,731181,,
247.124,731519,,
247.464,731611,,
247.801,731666,,
248.129,731471,,
248.457,731434,,
248.788,732221,,
249.125,732253,,
249.465,732297,,
249.804,732383,,
250.142,733186,,
250.480,732648,,
250.817,732691,,
251.154,733474,,
251.492,732776,,
251.812,732652,,
252.153,732916,,
252.485,732981,,
252.817,734245,,
253.143,733661,,
253.474,734315,,
253.812,733052,,
254.147,734085,,
254.478,734856,,
254.820,734823,,
255.158,734332,,
255.485,734237,,
255.825,735130,,
256.171,735046,,
256.507,735801,,
256.844,735246,,
257.170,735439,,
257.505,735423,,
257.839,736154,,
258.181,736720,,
258.517,736480,,
258.844,736573,,
259.173,736098,,
259.507,736960,,
259.845,737561,,
260.180,737235,,
260.507,737505,,
260.847,737615,,
261.183,737558,,
261.528,738025,,
261.865,738547,,
262.199,738395,,
262.536,737941,,
262.870,738488,,
263.203,740497,,
263.536,739102,,
263.864,739130,,
264.198,739403,,
264.532,739242,,
264.872,739563,,
265.201,739749,,
265.537,740291,,
265.880,740485,,
266.210,739943,,
266.547,740514,,
266.881,740712,,
267.213,741091,,
267.537,741297,,
267.875,741118,,
268.216,741494,,
268.555,741495,,
268.887,741875,,
269.221,741538,,
269.558,742280,,
269.890,741700,,
270.226,741892,,
270.562,742513,,
270.897,742496,,
271.230,742569,,
271.561,742552,,
271.902,743001,,
272.239,743613,,
272.574,743672,,
272.906,743295,,
273.239,743494,,
273.571,743730,,
273.897,744667,,
274.224,744677,,
274.550,744391,,
274.891,744539,,
275.229,744623,,
275.557,745482,,
275.885,745179,,
276.209,745257,,
276.546,745520,,
276.867,745179,,
277.196,745725,,
277.526,745909,,
277.850,745864,,
278.180,745595,,
278.503,745987,,
278.829,746392,,
279.151,746500,,
279.474,745878,,
279.796,747281,,
280.127,746339,,
280.447,746755,,
280.770,747297,,
281.091,746676,,
281.413,746988,,
281.730,746705,,
282.065,746800,,
282.379,746880,,
282.710,747617,,
283.030,747792,,
283.351,747428,,
283.675,747086,,
283.994,747336,,
284.316,747551,,
284.637,748186,,
284.956,748331,,
285.275,747711,,
285.592,746947,,
285.909,747556,,
286.229,747619,,
286.541,748378,,
286.863,747751,,
287.174,747616,,
287.490,748046,,
287.810,748373,,
288.124,747951,,
288.438,748116,,
288.761,748077,,
289.091,748306,,
289.406,748257,,
289.717,748064,,
290.030,748043,,
290.342,748486,,
290.659,747947,,
290.972,747751,,
291.289,747900,,
291.600,748580,,
291.908,748495,,
292.217,748406,,
292.536,748171,,
292.848,747835,,
293.157,747914,,
293.468,747638,,
293.779,748176,,
294.086,749373,,
294.395,748028,,
294.702,747643,,
295.011,747751,,
295.325,747903,,
295.632,747691,,
295.945,748047,,
296.259,747392,,
296.572,746728,,
296.878,747241,,
297.185,747978,,
297.483,746991,,
297.788,747438,,
298.098,747003,,
298.402,746490,,
298.710,747010,,
299.014,747128,,
299.319,747056,,
299.627,746847,,
299.931,746534,,
300.225,746138,,
300.533,746574,,
300.843,746176,,
301.148,746358,,
301.452,746100,,
301.756,746132,,
302.060,746064,,
302.369,745462,,
302.673,745673,,
302.974,745578,,
303.278,745715,,
303.571,744958,,
303.873,744472,,
304.173,744593,,
304.476,744787,,
304.778,745158,,
305.068,744944,,
305.374,743488,,
305.670,743473,,
305.972,743810,,
306.272,743991,,
306.563,744117,,
306.865,743798,,
307.163,743222,,
307.459,742734,,
307.753,743409,,
308.055,742861,,
308.358,742972,,
308.657,742262,,
308.960,741958,,
309.247,741710,,
309.542,741844,,
309.834,742267,,
310.128,741543,,
310.426,741596,,
310.721,741218,,
311.012,741313,,
311.302,741228,,
311.598,741363,,
311.891,740945,,
312.184,740097,,
312.476,740447,,
312.770,740004,,
313.066,740131,,
313.356,739947,,
313.650,739686,,
313.934,739205,,
314.231,738847,,
314.528,739197,,
314.820,739146,,
315.111,738935,,
315.397,738718,,
315.689,737843,,
315.975,738176,,
316.260,738204,,
316.549,737758,,
316.834,737557,,
317.123,736818,,
317.408,736581,,
317.699,736560,,
317.989,736120,,
